"Employee wages by industry, annual 1 2"
"Frequency: Annual"
"Table: 14-10-0064-01 (formerly CANSIM 282-0072)"
"Release date: 2024-01-05"
"Geography: Canada, Province or territory"
""
""

"Geography 3","Canada",,,,,,,,,,,,,,,,,,
"Wages 4","Average hourly wage rate",,,,,,,,,,,,,,,,,,
"Type of work","Both full- and part-time employees",,,,,,,,,,,,,,,,,,
"North American Industry Classification System (NAICS) 5","Total employees, all industries 6","Goods-producing sector 7","Agriculture 8","Forestry, fishing, mining, quarrying, oil and gas 9 10","Utilities","Construction","Manufacturing","Services-producing sector 11","Wholesale and retail trade","Transportation and warehousing","Finance, insurance, real estate, rental and leasing","Professional, scientific and technical services","Business, building and other support services 12","Educational services","Health care and social assistance","Information, culture and recreation","Accommodation and food services","Other services (except public administration)","Public administration"
"Sex","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes"
"Age group","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over"
"Reference period"
,"Current dollars",,,,,,,,,,,,,,,,,,
"2000","16.66","17.80","10.45","20.78","24.40","17.79","17.55","16.28","12.83","17.36","18.19","20.88","12.28","21.56","17.15","16.89","9.39","14.00","21.33"
"2001","17.22","18.39","11.01","21.30","25.28","18.57","18.04","16.83","13.21","17.80","18.99","21.71","12.97","21.97","17.78","17.66","9.72","14.37","22.11"
"2002","17.66","18.87","11.08","22.79","26.30","19.02","18.40","17.26","13.42","18.16","19.77","22.28","13.20","22.68","18.59","17.38","9.90","14.54","23.19"
"2003","18.05","19.31","11.63","22.67","26.90","19.23","18.93","17.63","13.72","18.50","19.67","22.76","13.56","23.18","19.01","17.81","10.24","15.01","24.08"
"2004","18.50","19.73","11.83","23.25","27.79","19.56","19.34","18.09","14.07","18.75","20.35","23.35","13.86","23.87","19.61","18.31","10.39","15.44","24.63"
"2005","19.09","20.29","12.14","24.38","28.49","20.06","19.87","18.70","14.46","19.13","21.03","24.36","13.96","24.50","20.23","19.03","10.94","16.03","25.51"
