Date,CPI,Year,Month,Wage
January 2017,129.0,2017,1,26.82
February 2017,129.2,2017,2,26.82
March 2017,129.4,2017,3,26.82
April 2017,129.9,2017,4,26.82
May 2017,129.9,2017,5,26.82
June 2017,129.9,2017,6,26.82
July 2017,129.9,2017,7,26.82
August 2017,129.9,2017,8,26.82
September 2017,130.2,2017,9,26.82
October 2017,130.3,2017,10,26.82
November 2017,130.8,2017,11,26.82
December 2017,130.2,2017,12,26.82
January 2018,131.1,2018,1,27.57
February 2018,131.9,2018,2,27.57
March 2018,132.2,2018,3,27.57
April 2018,132.6,2018,4,27.57
May 2018,132.7,2018,5,27.57
June 2018,132.9,2018,6,27.57
July 2018,133.6,2018,7,27.57
August 2018,133.5,2018,8,27.57
September 2018,133.0,2018,9,27.57
October 2018,133.4,2018,10,27.57
November 2018,132.8,2018,11,27.57
December 2018,132.8,2018,12,27.57
January 2019,133.0,2019,1,28.32
February 2019,133.9,2019,2,28.32
March 2019,134.8,2019,3,28.32
April 2019,135.1,2019,4,28.32
May 2019,135.8,2019,5,28.32
June 2019,135.5,2019,6,28.32
July 2019,136.3,2019,7,28.32
August 2019,136.0,2019,8,28.32
September 2019,135.4,2019,9,28.32
October 2019,135.9,2019,10,28.32
November 2019,135.7,2019,11,28.32
December 2019,135.7,2019,12,28.32
January 2020,136.0,2020,1,30.03
February 2020,136.7,2020,2,30.03
March 2020,135.8,2020,3,30.03
April 2020,134.9,2020,4,30.03
May 2020,135.2,2020,5,30.03
June 2020,136.3,2020,6,30.03
July 2020,136.4,2020,7,30.03
August 2020,136.1,2020,8,30.03
September 2020,136.0,2020,9,30.03
October 2020,136.6,2020,10,30.03
November 2020,136.8,2020,11,30.03
December 2020,136.5,2020,12,30.03
January 2021,137.4,2021,1,30.67
February 2021,138.1,2021,2,30.67
March 2021,138.7,2021,3,30.67
April 2021,139.2,2021,4,30.67
May 2021,139.9,2021,5,30.67
June 2021,140.3,2021,6,30.67
July 2021,141.1,2021,7,30.67
August 2021,141.5,2021,8,30.67
September 2021,141.8,2021,9,30.67
October 2021,142.8,2021,10,30.67
November 2021,143.0,2021,11,30.67
December 2021,142.9,2021,12,30.67
January 2022,144.2,2022,1,31.96
February 2022,145.6,2022,2,31.96
March 2022,147.7,2022,3,31.96
April 2022,148.6,2022,4,31.96
May 2022,150.7,2022,5,31.96
June 2022,151.6,2022,6,31.96
July 2022,151.9,2022,7,31.96
August 2022,151.3,2022,8,31.96
September 2022,151.4,2022,9,31.96
October 2022,152.6,2022,10,31.96
November 2022,152.8,2022,11,31.96
December 2022,151.8,2022,12,31.96
January 2023,152.7,2023,1,33.55
February 2023,153.3,2023,2,33.55
March 2023,154.1,2023,3,33.55
April 2023,155.0,2023,4,33.55
May 2023,155.6,2023,5,33.55
June 2023,155.7,2023,6,33.55
July 2023,156.6,2023,7,33.55
August 2023,157.2,2023,8,33.55
September 2023,157.0,2023,9,33.55
October 2023,157.2,2023,10,33.55
November 2023,157.4,2023,11,33.55
December 2023,156.8,2023,12,33.55
